民國年,縣市,期作,收購類型,收購量(公噸)
102,桃園縣,二期,計畫收購,3964.1
102,桃園縣,二期,輔導收購,1800.1
102,桃園縣,二期,餘糧收購,1120.0
102,新竹縣,一期,計畫收購,6464.1
102,新竹縣,一期,輔導收購,3514.7
102,新竹縣,一期,餘糧收購,2525.5
102,新竹縣,二期,計畫收購,3477.7
102,新竹縣,二期,輔導收購,1649.6
102,新竹縣,二期,餘糧收購,691.2
102,苗栗縣,一期,計畫收購,9727.3
102,苗栗縣,一期,輔導收購,5508.1
102,苗栗縣,一期,餘糧收購,1358.7
102,苗栗縣,二期,計畫收購,5419.0
102,苗栗縣,二期,輔導收購,2569.9
102,苗栗縣,二期,餘糧收購,220.3
102,彰化縣,一期,計畫收購,24847.5
102,彰化縣,一期,輔導收購,10415.4
102,彰化縣,一期,餘糧收購,2808.3
102,彰化縣,二期,計畫收購,14784.1
102,彰化縣,二期,輔導收購,3126.4
102,彰化縣,二期,餘糧收購,382.8
102,南投縣,一期,計畫收購,1896.0
102,南投縣,一期,輔導收購,567.4
102,南投縣,一期,餘糧收購,124.2
102,南投縣,二期,計畫收購,1252.0
102,南投縣,二期,輔導收購,92.7
102,南投縣,二期,餘糧收購,43.5
102,雲林縣,一期,計畫收購,47592.1
102,雲林縣,一期,輔導收購,23899.7
102,雲林縣,一期,餘糧收購,13680.8
102,雲林縣,二期,計畫收購,14755.1
102,雲林縣,二期,輔導收購,3555.8
102,雲林縣,二期,餘糧收購,310.5
102,嘉義縣,一期,計畫收購,29463.6
102,嘉義縣,一期,輔導收購,14860.8
102,嘉義縣,一期,餘糧收購,13511.2
102,嘉義縣,二期,計畫收購,16751.6
102,嘉義縣,二期,輔導收購,5137.4
102,嘉義縣,二期,餘糧收購,1537.8
102,屏東縣,一期,計畫收購,4519.8
102,屏東縣,一期,輔導收購,2488.0
102,屏東縣,一期,餘糧收購,2455.4
102,屏東縣,二期,計畫收購,162.7
102,屏東縣,二期,輔導收購,86.5
102,屏東縣,二期,餘糧收購,146.1
102,臺東縣,一期,計畫收購,992.1
102,臺東縣,一期,輔導收購,237.9
102,臺東縣,一期,餘糧收購,97.8
102,臺東縣,二期,計畫收購,658.0
102,臺東縣,二期,輔導收購,91.4
102,臺東縣,二期,餘糧收購,11.4
102,花蓮縣,一期,計畫收購,4153.5
102,花蓮縣,一期,輔導收購,1443.9
102,花蓮縣,一期,餘糧收購,142.6
102,花蓮縣,二期,計畫收購,2757.6
102,花蓮縣,二期,輔導收購,493.6
102,花蓮縣,二期,餘糧收購,47.3
102,新竹市,一期,計畫收購,436.8
102,新竹市,一期,輔導收購,253.4
102,新竹市,一期,餘糧收購,419.9
102,新竹市,二期,計畫收購,212.3
102,新竹市,二期,輔導收購,97.6
102,新竹市,二期,餘糧收購,174.7
102,嘉義市,一期,計畫收購,1057.7
102,嘉義市,一期,輔導收購,434.9
102,嘉義市,一期,餘糧收購,93.3
102,嘉義市,二期,計畫收購,691.3
102,嘉義市,二期,輔導收購,73.9
102,嘉義市,二期,餘糧收購,33.0
103,新北市,一期,計畫收購,185.5
103,新北市,一期,輔導收購,92.5
103,新北市,一期,餘糧收購,92.9
103,臺中市,一期,計畫收購,16931.3
103,臺中市,一期,輔導收購,9297.2
103,臺中市,一期,餘糧收購,12215.5
103,臺中市,二期,計畫收購,5422.2
103,臺中市,二期,輔導收購,2221.5
103,臺中市,二期,餘糧收購,1047.0
103,臺南市,一期,計畫收購,15260.9
103,臺南市,一期,輔導收購,6541.6
103,臺南市,一期,餘糧收購,2952.7
103,臺南市,二期,計畫收購,6623.3
103,臺南市,二期,輔導收購,86.3
103,高雄市,一期,計畫收購,3594.2
103,高雄市,一期,輔導收購,2044.5
103,高雄市,一期,餘糧收購,2312.1
103,高雄市,二期,計畫收購,151.3
103,高雄市,二期,輔導收購,66.1
103,高雄市,二期,餘糧收購,10.6
103,宜蘭縣,一期,計畫收購,16495.7
103,宜蘭縣,一期,輔導收購,8064.7
103,宜蘭縣,一期,餘糧收購,1652.8
103,桃園縣,一期,計畫收購,13195.9
103,桃園縣,一期,輔導收購,7178.5
103,桃園縣,一期,餘糧收購,4837.1
103,桃園縣,二期,計畫收購,3605.2
103,桃園縣,二期,輔導收購,1730.6
103,桃園縣,二期,餘糧收購,1112.5
103,新竹縣,一期,計畫收購,6130.2
103,新竹縣,一期,輔導收購,3325.7
103,新竹縣,一期,餘糧收購,1898.5
103,新竹縣,二期,計畫收購,3110.0
103,新竹縣,二期,輔導收購,1404.4
103,新竹縣,二期,餘糧收購,427.3
103,苗栗縣,一期,計畫收購,9764.5
103,苗栗縣,一期,輔導收購,5344.7
103,苗栗縣,一期,餘糧收購,350.1
103,苗栗縣,二期,計畫收購,4269.6
103,苗栗縣,二期,輔導收購,1944.0
103,苗栗縣,二期,餘糧收購,166.5
103,彰化縣,一期,計畫收購,24421.6
103,彰化縣,一期,輔導收購,10303.6
103,彰化縣,一期,餘糧收購,3103.4
103,彰化縣,二期,計畫收購,12137.6
103,彰化縣,二期,輔導收購,1154.4
103,彰化縣,二期,餘糧收購,31.9
103,南投縣,一期,計畫收購,1636.2
103,南投縣,一期,輔導收購,584.2
103,南投縣,一期,餘糧收購,165.3
103,南投縣,二期,計畫收購,1134.2
103,南投縣,二期,輔導收購,53.8
103,南投縣,二期,餘糧收購,13.3
103,雲林縣,一期,計畫收購,46961.1
103,雲林縣,一期,輔導收購,24830.8
103,雲林縣,一期,餘糧收購,15003.8
103,雲林縣,二期,計畫收購,13664.0
103,雲林縣,二期,輔導收購,2637.7
103,雲林縣,二期,餘糧收購,86.7
103,嘉義縣,一期,計畫收購,29350.0
103,嘉義縣,一期,輔導收購,15231.4
103,嘉義縣,一期,餘糧收購,9325.1
103,嘉義縣,二期,計畫收購,11683.9
103,嘉義縣,二期,輔導收購,1686.7
103,嘉義縣,二期,餘糧收購,199.4
103,屏東縣,一期,計畫收購,3506.8
103,屏東縣,一期,輔導收購,1575.4
103,屏東縣,一期,餘糧收購,389.3
103,屏東縣,二期,計畫收購,151.9
103,屏東縣,二期,輔導收購,55.6
103,屏東縣,二期,餘糧收購,14.7
103,臺東縣,一期,計畫收購,1024.3
103,臺東縣,一期,輔導收購,230.5
103,臺東縣,一期,餘糧收購,5.8
103,臺東縣,二期,計畫收購,607.8
103,臺東縣,二期,輔導收購,56.1
103,花蓮縣,一期,計畫收購,3111.7
103,花蓮縣,一期,輔導收購,299.3
103,花蓮縣,一期,餘糧收購,86.2
103,花蓮縣,二期,計畫收購,2204.6
103,花蓮縣,二期,輔導收購,105.0
103,花蓮縣,二期,餘糧收購,1.8
103,新竹市,一期,計畫收購,403.6
103,新竹市,一期,輔導收購,232.3
103,新竹市,一期,餘糧收購,380.7
103,新竹市,二期,計畫收購,183.1
103,新竹市,二期,輔導收購,86.0
103,新竹市,二期,餘糧收購,173.5
103,嘉義市,一期,計畫收購,843.0
103,嘉義市,一期,輔導收購,230.9
103,嘉義市,一期,餘糧收購,11.0
103,嘉義市,二期,計畫收購,597.3
103,嘉義市,二期,輔導收購,65.5
103,嘉義市,二期,餘糧收購,25.5
104,新北市,一期,計畫收購,119.8
104,新北市,一期,輔導收購,62.8
104,新北市,一期,餘糧收購,89.4
