民國年,縣市,期作,產量_稻穀(公噸)
110,新竹縣,二期,18408.7
110,苗栗縣,一期,20651.9
110,苗栗縣,二期,28312.3
110,彰化縣,一期,219664.2
110,彰化縣,二期,131568.5
110,南投縣,一期,16958.1
110,南投縣,二期,15638.5
110,雲林縣,一期,242319.4
110,雲林縣,二期,89220.9
110,嘉義縣,一期,83155.1
110,嘉義縣,二期,83001.0
110,屏東縣,一期,43283.9
110,屏東縣,二期,4544.0
110,臺東縣,一期,44053.7
110,臺東縣,二期,33645.4
110,花蓮縣,一期,57720.7
110,花蓮縣,二期,37755.0
110,新竹市,一期,817.8
110,新竹市,二期,2969.5
110,嘉義市,一期,4834.4
110,嘉義市,二期,4500.2
111,新北市,一期,747.0
111,新北市,二期,13.0
111,臺北市,一期,1009.5
111,臺北市,二期,526.2
111,桃園市,一期,56957.7
111,桃園市,二期,7818.6
111,臺中市,一期,90886.8
111,臺中市,二期,54915.6
111,臺南市,一期,52600.5
111,臺南市,二期,56084.9
111,高雄市,一期,33548.2
111,高雄市,二期,1756.4
111,宜蘭縣,一期,69088.2
111,新竹縣,一期,23855.7
111,新竹縣,二期,10469.9
111,苗栗縣,一期,27376.8
111,苗栗縣,二期,24343.9
111,彰化縣,一期,215257.8
111,彰化縣,二期,104218.4
111,南投縣,一期,14203.2
111,南投縣,二期,14733.2
111,雲林縣,一期,232469.5
111,雲林縣,二期,71590.3
111,嘉義縣,一期,122875.6
111,嘉義縣,二期,70321.4
111,屏東縣,一期,36215.8
111,屏東縣,二期,3594.9
111,臺東縣,一期,36477.0
111,臺東縣,二期,34291.1
111,花蓮縣,一期,48879.0
111,花蓮縣,二期,44670.6
111,新竹市,一期,3665.8
111,新竹市,二期,2021.0
